TYPE,YEAR_PLACED_IN_FIELD,ARM,NTRT,YEAR,PERCENT_LOSS
Sphagnum,2014,1,C,2014,4
Sphagnum,2014,1,C,2014,7.1
Sphagnum,2014,1,C,2014,6.23
Sphagnum,2014,2,C,2014,16.81
Sphagnum,2014,2,C,2014,0
Sphagnum,2014,2,C,2014,2.39
Sphagnum,2014,3,C,2014,11.06
Sphagnum,2014,3,C,2014,7.22
Sphagnum,2014,3,C,2014,13.88
Sphagnum,2014,1,0,2014,0
Sphagnum,2014,1,0,2014,8.14
Sphagnum,2014,1,0,2014,7.26
Sphagnum,2014,2,0,2014,0.22
Sphagnum,2014,2,0,2014,4.98
Sphagnum,2014,2,0,2014,6.54
Sphagnum,2014,3,0,2014,7.9
Sphagnum,2014,3,0,2014,3.54
Sphagnum,2014,3,0,2014,5.99
Sphagnum,2014,1,5,2014,0
Sphagnum,2014,1,5,2014,8.12
Sphagnum,2014,1,5,2014,7.86
Sphagnum,2014,2,5,2014,9.29
Sphagnum,2014,2,5,2014,0.91
Sphagnum,2014,2,5,2014,2.71
Sphagnum,2014,3,5,2014,0
Sphagnum,2014,3,5,2014,0
Sphagnum,2014,3,5,2014,0.81
Sphagnum,2014,1,10,2014,5.16
Sphagnum,2014,1,10,2014,6.5
Sphagnum,2014,1,10,2014,5.14
Sphagnum,2014,2,10,2014,4.79
Sphagnum,2014,2,10,2014,3.8
Sphagnum,2014,2,10,2014,3.36
Sphagnum,2014,3,10,2014,0
Sphagnum,2014,3,10,2014,0
Sphagnum,2014,3,10,2014,0
Sphagnum,2014,1,15,2014,7.65
Sphagnum,2014,1,15,2014,7.24
Sphagnum,2014,1,15,2014,6.9
Sphagnum,2014,2,15,2014,8.31
Sphagnum,2014,2,15,2014,10.69
Sphagnum,2014,2,15,2014,8.4
Sphagnum,2014,3,15,2014,10.37
Sphagnum,2014,3,15,2014,0
Sphagnum,2014,3,15,2014,0
Sphagnum,2014,1,20,2014,3.34
Sphagnum,2014,1,20,2014,5.69
Sphagnum,2014,1,20,2014,7.33
Sphagnum,2014,2,20,2014,4.87
Sphagnum,2014,2,20,2014,0
Sphagnum,2014,2,20,2014,12.85
Sphagnum,2014,3,20,2014,0
Sphagnum,2014,3,20,2014,3.06
Sphagnum,2014,3,20,2014,2.26
Sphagnum,2014,1,25,2014,7.32
Sphagnum,2014,1,25,2014,5.72
Sphagnum,2014,1,25,2014,2.12
Sphagnum,2014,2,25,2014,12.74
Sphagnum,2014,2,25,2014,0.83
Sphagnum,2014,2,25,2014,19.43
Sphagnum,2014,3,25,2014,5.17
Sphagnum,2014,3,25,2014,6.64
Sphagnum,2014,3,25,2014,1.5
Sphagnum,2015,1,C,2015,10.64
Sphagnum,2015,1,C,2015,15.38
Sphagnum,2015,1,C,2015,16.49
Sphagnum,2015,1,C,2015,11.31
Sphagnum,2015,2,C,2015,13.14
Sphagnum,2015,2,C,2015,13.45
Sphagnum,2015,2,C,2015,12.62
Sphagnum,2015,2,C,2015,11.06
Sphagnum,2015,3,C,2015,13.92
Sphagnum,2015,3,C,2015,11.02
Sphagnum,2015,3,C,2015,12.44
Sphagnum,2015,3,C,2015,12.64
Sphagnum,2015,1,0,2015,11.42
Sphagnum,2015,1,0,2015,10.6
Sphagnum,2015,1,0,2015,15.34
Sphagnum,2015,1,0,2015,13.25
Sphagnum,2015,2,0,2015,6.85
Sphagnum,2015,2,0,2015,4.85
Sphagnum,2015,2,0,2015,6.75
Sphagnum,2015,2,0,2015,4.64
Sphagnum,2015,3,0,2015,12.69
Sphagnum,2015,3,0,2015,12.07
Sphagnum,2015,3,0,2015,11.77
Sphagnum,2015,3,0,2015,11.43
Sphagnum,2015,1,5,2015,11.26
Sphagnum,2015,1,5,2015,11.95
Sphagnum,2015,1,5,2015,9.75
Sphagnum,2015,1,5,2015,9.34
Sphagnum,2015,2,5,2015,12.36
Sphagnum,2015,2,5,2015,4.35
Sphagnum,2015,2,5,2015,8.81
Sphagnum,2015,2,5,2015,6.03
Sphagnum,2015,3,5,2015,14.2
Sphagnum,2015,3,5,2015,26.39
Sphagnum,2015,3,5,2015,16.57
Sphagnum,2015,3,5,2015,14.41
Sphagnum,2015,1,10,2015,13.41
Sphagnum,2015,1,10,2015,11.21
Sphagnum,2015,1,10,2015,10.2
Sphagnum,2015,1,10,2015,21.74
Sphagnum,2015,2,10,2015,17.33
Sphagnum,2015,2,10,2015,11.98
Sphagnum,2015,2,10,2015,11.88
Sphagnum,2015,2,10,2015,12.92
Sphagnum,2015,3,10,2015,9.21
Sphagnum,2015,3,10,2015,9
Sphagnum,2015,3,10,2015,9.29
Sphagnum,2015,3,10,2015,8.2
Sphagnum,2015,1,15,2015,8.86
Sphagnum,2015,1,15,2015,8.8
Sphagnum,2015,1,15,2015,9.74
Sphagnum,2015,1,15,2015,9.17
Sphagnum,2015,2,15,2015,8.47
Sphagnum,2015,2,15,2015,8.35
Sphagnum,2015,2,15,2015,6.77
Sphagnum,2015,2,15,2015,7.75
Sphagnum,2015,3,15,2015,14.46
Sphagnum,2015,3,15,2015,15.5
Sphagnum,2015,3,15,2015,14.17
Sphagnum,2015,3,15,2015,14.8
Sphagnum,2015,1,20,2015,11.75
Sphagnum,2015,1,20,2015,8.33
Sphagnum,2015,1,20,2015,7.53
Sphagnum,2015,1,20,2015,10.35
Sphagnum,2015,2,20,2015,7.96
Sphagnum,2015,2,20,2015,9.17
Sphagnum,2015,2,20,2015,7.97
Sphagnum,2015,2,20,2015,7.59
Sphagnum,2015,3,20,2015,6.33
Sphagnum,2015,3,20,2015,4.89
Sphagnum,2015,3,20,2015,5.05
Sphagnum,2015,3,20,2015,4.73
Sphagnum,2015,1,25,2015,11.76
Sphagnum,2015,1,25,2015,14.53
Sphagnum,2015,1,25,2015,12.09
Sphagnum,2015,1,25,2015,12.96
Sphagnum,2015,2,25,2015,12.29
Sphagnum,2015,2,25,2015,14.03
Sphagnum,2015,2,25,2015,8.78
Sphagnum,2015,2,25,2015,9.1
Sphagnum,2015,3,25,2015,7.34
