YEAR,NTRT,ARM,NET_PRIMARY_PRODUCTION,STEM_MASS_DENSITY,PLANT_DENSITY,STEM_N_CONCENTRATION,N_ASSIMILATED
2011,C,1,127.4,150.8,75383,9.83,1.25
2011,C,2,144.1,74,74005,10.87,1.57
2011,C,3,105.4,86.6,57745,12.92,1.36
2011,0,1,74.3,110.7,40267,10.44,0.78
2011,0,2,235.8,86.4,69101,7.55,1.78
2011,0,3,269.9,105.7,60403,8.84,2.39
2011,5,1,273.4,178.3,59437,8.94,2.44
2011,5,2,245.3,101.7,45181,9.42,2.31
2011,5,3,150.7,69.5,55571,9.5,1.43
2011,10,1,289.5,184.5,56779,10.93,3.16
2011,10,2,295.7,100,44457,11.51,3.4
2011,10,3,273.7,115.8,51463,9.39,2.57
2011,15,1,208.9,79.4,63544,8.11,1.69
2011,15,2,133.8,80.3,53555,10.64,1.42
2011,15,3,281.4,97.2,48622,10.41,2.93
2011,20,1,103.5,91.3,40591,11.32,1.17
2011,20,2,303.8,190.8,58712,9.99,3.04
2011,20,3,243.8,128.3,57020,9.99,2.44
2011,25,1,243.5,101.5,57987,9.04,2.2
2011,25,2,347.8,144.3,57726,11.38,3.96
2011,25,3,225.4,108.9,27230,11.24,2.53
2012,C,1,367.6,205.4,61176,8.9,3.27
2012,C,2,299.9,131,70518,10.44,3.13
2012,C,3,261.4,172,61734,9.69,2.53
2012,0,1,284.4,122,40678,8.75,2.49
2012,0,2,349.2,103.3,57861,6.97,2.43
2012,0,3,347.2,109.5,63888,8.24,2.86
2012,5,1,357.4,238.3,74134,7.99,2.86
2012,5,2,319.7,99.9,73620,8.03,2.57
2012,5,3,347,105.5,59066,7.36,2.55
2012,10,1,458.8,117.3,82139,8.15,3.74
2012,10,2,383.6,81.3,71121,8.92,3.42
2012,10,3,497.1,180.8,66600,7.89,3.92
2012,15,1,328.3,92.2,75942,8.65,2.84
2012,15,2,237.6,86.1,75320,8.65,2.06
2012,15,3,390.4,114.5,59366,7.92,3.09
2012,20,1,150.4,79.2,46184,8.08,1.22
2012,20,2,118.4,98.6,46029,9.07,1.07
2012,20,3,251.4,122.1,40683,9.04,2.27
2012,25,1,244.5,100.6,82874,8.58,2.1
2012,25,2,465.1,268.8,54546,9.58,4.46
2012,25,3,162.3,109.7,54847,7.97,1.29
2013,C,1,540.7,178.7,50026,9.73,5.26
2013,C,2,341.7,126.7,57229,11.88,4.06
2013,C,3,318.6,99,49507,10.31,3.28
2013,0,1,176.3,63,55149,8.52,1.5
2013,0,2,148.7,81.8,54546,10.09,1.5
2013,0,3,154.2,113.7,49724,9.07,1.4
2013,5,1,184.4,73.6,60573,9.84,1.81
2013,5,2,218,62,72326,9.12,1.99
2013,5,3,201.6,60.4,49724,8.85,1.78
2013,10,1,184,81.5,87719,8.83,1.63
2013,10,2,264.7,110.3,55149,10.43,2.76
2013,10,3,115.6,58.2,50930,8.31,0.96
2013,15,1,183.4,96.5,58765,8.81,1.62
2013,15,2,110,64.7,50312,11.44,1.26
2013,15,3,130.9,68.9,38574,10.4,1.36
2013,20,1,154.3,45.2,42155,9.41,1.45
2013,20,2,113.6,95.7,31171,9.92,1.13
2013,20,3,175.7,65.3,24711,9.96,1.75
2013,25,1,260.3,92.4,44601,10.29,2.68
2013,25,2,87.3,39.4,55149,11.22,0.98
2013,25,3,117.7,51.5,27725,9.7,1.14
2014,C,1,272,92.9,50026,8.76,2.38
2014,C,2,202.3,96.7,63852,9.37,1.9
2014,C,3,222.9,87.7,42793,9.25,2.06
2014,0,1,109.2,61.1,52436,8.63,0.94
2014,0,2,225.7,73.2,53943,9.16,2.07
2014,0,3,269,130.9,49121,7.97,2.14
2014,5,1,184.1,63.4,43094,7.79,1.44
2014,5,2,207.1,93.5,68191,8.46,1.75
2014,5,3,159.1,77.5,45806,8.86,1.41
2014,10,1,417.5,155.7,55751,8.03,3.35
2014,10,2,154.8,72.3,37067,9.62,1.49
2014,10,3,143.5,92.7,35736,8.93,1.28
2014,15,1,61.5,65.9,30437,9.23,0.57
2014,15,2,89.7,63.7,30739,10.47,0.94
2014,15,3,55,58.4,27986,7.86,0.43
2014,20,1,245.6,70.7,34355,12.47,3.06
2014,20,2,136.6,82.9,33149,9.05,1.24
2014,20,3,87.6,43.6,20191,10.7,0.94
2014,25,1,211.4,59.3,31341,12.44,2.63
2014,25,2,136.1,56.8,30136,9.99,1.36
2014,25,3,113.2,44.9,21095,8.78,0.99
2015,C,1,381.7,124,59669,8.87,3.38
2015,C,2,372.9,139.4,56408,8.86,3.31
2015,C,3,262.8,92,36790,9.39,2.47
2015,0,1,292,135.1,51834,7.77,2.27
2015,0,2,464.1,189.5,52135,6.83,3.17
2015,0,3,255.2,155.1,44601,7.23,1.84
2015,5,1,344.6,81.2,44944,8.39,2.89
2015,5,2,246.1,107.2,51231,7.56,1.86
2015,5,3,147.8,74.3,43712,8.46,1.25
2015,10,2,70.4,49.2,28930,10.4,0.73
2015,10,3,142.9,66.8,24410,8.94,1.28
2015,15,1,159.9,77.8,24410,7.65,1.22
2015,15,2,123.1,50.4,25314,9.39,1.16
2015,15,3,39.4,42.4,28930,10.12,0.4
2015,20,1,251.4,69.8,47916,9.5,2.39
2015,20,2,79.7,51.5,35862,8.29,0.66
2015,20,3,62.6,29.5,25013,8.43,0.53
2015,25,1,312.1,81,36464,9.3,2.9
2015,25,2,146.5,47.7,34054,9.47,1.39
2015,25,3,82.8,33.2,21999,9.26,0.77
