type,date,arm,ntrt,year,percent_loss,taxa
Sphagnum,2014-01-01,1,C,2014,4,Mosses
Sphagnum,2014-01-01,1,C,2014,7.1,Unsorted biomass
Sphagnum,2014-01-01,1,C,2014,6.23,Koeleria cristata
Sphagnum,2014-01-01,2,C,2014,16.81,Mosses
Sphagnum,2014-01-01,2,C,2014,0,Unsorted biomass
Sphagnum,2014-01-01,2,C,2014,2.39,Koeleria cristata
Sphagnum,2014-01-01,3,C,2014,11.06,Mosses
Sphagnum,2014-01-01,3,C,2014,7.22,Unsorted biomass
Sphagnum,2014-01-01,3,C,2014,13.88,Koeleria cristata
Sphagnum,2014-01-01,,0,2014,0,Mosses
Sphagnum,2014-01-01,1,0,2014,8.14,Unsorted biomass
Sphagnum,2014-01-01,1,0,2014,7.26,Koeleria cristata
Sphagnum,2014-01-01,,0,2014,0.22,Mosses
Sphagnum,2014-01-01,2,0,2014,4.98,Unsorted biomass
Sphagnum,2014-01-01,2,0,2014,6.54,Koeleria cristata
Sphagnum,2014-01-01,3,0,2014,7.9,Mosses
Sphagnum,2014-01-01,3,0,2014,3.54,Unsorted biomass
Sphagnum,2014-01-01,3,0,2014,5.99,Koeleria cristata
Sphagnum,2014-01-01,1,5,2014,0,Unsorted biomass
Sphagnum,2014-01-01,1,5,2014,8.12,Unsorted biomass
Sphagnum,2014-01-01,1,5,2014,7.86,Unsorted biomass
Sphagnum,2014-01-01,2,5,2014,9.29,Unsorted biomass
Sphagnum,2014-01-01,2,5,2014,0.91,Unsorted biomass
Sphagnum,2014-01-01,2,5,2014,2.71,Unsorted biomass
Sphagnum,2014-01-01,3,5,2014,0,Unsorted biomass
Sphagnum,2014-01-01,3,5,2014,0,Unsorted biomass
Sphagnum,2014-01-01,3,5,2014,0.81,Unsorted biomass
Sphagnum,2014-01-01,1,10,2014,5.16,Unsorted biomass
Sphagnum,2014-01-01,1,10,2014,6.5,Unsorted biomass
Sphagnum,2014-01-01,1,10,2014,5.14,Unsorted biomass
Sphagnum,2014-01-01,2,10,2014,4.79,Unsorted biomass
Sphagnum,2014-01-01,2,10,2014,3.8,Unsorted biomass
Sphagnum,2014-01-01,2,10,2014,3.36,Unsorted biomass
Sphagnum,2014-01-01,3,10,2014,0,Unsorted biomass
Sphagnum,2014-01-01,3,10,2014,0,Unsorted biomass
Sphagnum,2014-01-01,3,10,2014,0,Unsorted biomass
Sphagnum,2014-01-01,1,15,2014,7.65,Unsorted biomass
Sphagnum,2014-01-01,1,15,2014,7.24,Unsorted biomass
Sphagnum,2014-01-01,1,15,2014,6.9,Unsorted biomass
Sphagnum,2014-01-01,2,15,2014,8.31,Unsorted biomass
Sphagnum,2014-01-01,2,15,2014,10.69,Unsorted biomass
Sphagnum,2014-01-01,2,15,2014,8.4,Unsorted biomass
Sphagnum,2014-01-01,3,15,2014,10.37,Unsorted biomass
Sphagnum,2014-01-01,3,15,2014,0,Unsorted biomass
Sphagnum,2014-01-01,3,15,2014,0,Unsorted biomass
Sphagnum,2014-01-01,1,20,2014,3.34,Unsorted biomass
Sphagnum,2014-01-01,1,20,2014,5.69,Unsorted biomass
Sphagnum,2014-01-01,1,20,2014,7.33,Unsorted biomass
Sphagnum,2014-01-01,2,20,2014,4.87,Unsorted biomass
Sphagnum,2014-01-01,2,20,2014,0,Unsorted biomass
Sphagnum,2014-01-01,2,20,2014,12.85,Unsorted biomass
Sphagnum,2014-01-01,3,20,2014,0,Unsorted biomass
Sphagnum,2014-01-01,3,20,2014,3.06,Unsorted biomass
Sphagnum,2014-01-01,3,20,2014,2.26,Unsorted biomass
Sphagnum,2014-01-01,1,25,2014,7.32,Unsorted biomass
Sphagnum,2014-01-01,1,25,2014,5.72,Unsorted biomass
Sphagnum,2014-01-01,1,25,2014,2.12,Unsorted biomass
Sphagnum,2014-01-01,2,25,2014,12.74,Unsorted biomass
Sphagnum,2014-01-01,2,25,2014,0.83,Unsorted biomass
Sphagnum,2014-01-01,2,25,2014,19.43,Unsorted biomass
Sphagnum,2014-01-01,3,25,2014,5.17,Unsorted biomass
Sphagnum,2014-01-01,3,25,2014,6.64,Unsorted biomass
Sphagnum,2014-01-01,3,25,2014,1.5,Unsorted biomass
Sphagnum,2015-01-01,1,C,2015,10.64,Unsorted biomass
Sphagnum,2015-01-01,1,C,2015,15.38,Unsorted biomass
Sphagnum,2015-01-01,1,C,2015,16.49,Unsorted biomass
Sphagnum,2015-01-01,1,C,2015,11.31,Unsorted biomass
Sphagnum,2015-01-01,2,C,2015,13.14,Unsorted biomass
Sphagnum,2015-01-01,2,C,2015,13.45,Unsorted biomass
Sphagnum,2015-01-01,2,C,2015,12.62,Unsorted biomass
Sphagnum,2015-01-01,2,C,2015,11.06,Unsorted biomass
Sphagnum,2015-01-01,3,C,2015,13.92,Unsorted biomass
Sphagnum,2015-01-01,3,C,2015,11.02,Unsorted biomass
Sphagnum,2015-01-01,3,C,2015,12.44,Unsorted biomass
Sphagnum,2015-01-01,3,C,2015,12.64,Unsorted biomass
Sphagnum,2015-01-01,1,0,2015,11.42,Unsorted biomass
Sphagnum,2015-01-01,1,0,2015,10.6,Unsorted biomass
Sphagnum,2015-01-01,1,0,2015,15.34,Unsorted biomass
Sphagnum,2015-01-01,1,0,2015,13.25,Unsorted biomass
Sphagnum,2015-01-01,2,0,2015,6.85,Unsorted biomass
Sphagnum,2015-01-01,2,0,2015,4.85,Unsorted biomass
Sphagnum,2015-01-01,2,0,2015,6.75,Unsorted biomass
Sphagnum,2015-01-01,2,0,2015,4.64,Unsorted biomass
