type,date,arm,ntrt,year,percent_loss,taxa
Sphagnum,2014-01-01,1,C,2014,4,Mosses
Sphagnum,2014-01-01,1,C,2014,7.1,Unsorted biomass
Sphagnum,2014-01-01,1,C,2014,6.23,Achillea millefolium
Sphagnum,2014-01-01,2,C,2014,16.81,Bouteloua gracilis
Sphagnum,2014-01-01,2,C,2014,0,Cyperus sp.
Sphagnum,2014-01-01,2,C,2014,2.39,Koeleria cristata
Sphagnum,2014-01-01,3,C,2014,11.06,Lespedeza capitata
Sphagnum,2014-01-01,3,C,2014,7.22,Liatris aspera
Sphagnum,2014-01-01,3,C,2014,13.88,Lespedeza capitata
Sphagnum,2014-01-01,,0,2014,0,Mosses
Sphagnum,2014-01-01,1,0,2014,8.14,Unsorted biomass
Sphagnum,2014-01-01,1,0,2014,7.26,Achillea millefolium
Sphagnum,2014-01-01,,0,2014,0.22,Bouteloua gracilis
Sphagnum,2014-01-01,2,0,2014,4.98,Cyperus sp.
Sphagnum,2014-01-01,2,0,2014,6.54,Koeleria cristata
Sphagnum,2014-01-01,3,0,2014,7.9,Lespedeza capitata
Sphagnum,2014-01-01,3,0,2014,3.54,Liatris aspera
Sphagnum,2014-01-01,3,0,2014,5.99,Lespedeza capitata
Sphagnum,2014-01-01,1,5,2014,0,Mosses
Sphagnum,2014-01-01,1,5,2014,8.12,Unsorted biomass
Sphagnum,2014-01-01,1,5,2014,7.86,Achillea millefolium
Sphagnum,2014-01-01,2,5,2014,9.29,Bouteloua gracilis
Sphagnum,2014-01-01,2,5,2014,0.91,Cyperus sp.
Sphagnum,2014-01-01,2,5,2014,2.71,Koeleria cristata
Sphagnum,2014-01-01,3,5,2014,0,Lespedeza capitata
Sphagnum,2014-01-01,3,5,2014,0,Mosses
Sphagnum,2014-01-01,3,5,2014,0.81,Unsorted biomass
Sphagnum,2014-01-01,1,10,2014,5.16,Achillea millefolium
Sphagnum,2014-01-01,1,10,2014,6.5,Bouteloua gracilis
Sphagnum,2014-01-01,1,10,2014,5.14,Cyperus sp.
Sphagnum,2014-01-01,2,10,2014,4.79,Koeleria cristata
Sphagnum,2014-01-01,2,10,2014,3.8,Lespedeza capitata
Sphagnum,2014-01-01,2,10,2014,3.36,Liatris aspera
Sphagnum,2014-01-01,3,10,2014,0,Lespedeza capitata
Sphagnum,2014-01-01,3,10,2014,0,Mosses
Sphagnum,2014-01-01,3,10,2014,0,Unsorted biomass
Sphagnum,2014-01-01,1,15,2014,7.65,Achillea millefolium
Sphagnum,2014-01-01,1,15,2014,7.24,Bouteloua gracilis
Sphagnum,2014-01-01,1,15,2014,6.9,Cyperus sp.
Sphagnum,2014-01-01,2,15,2014,8.31,Koeleria cristata
Sphagnum,2014-01-01,2,15,2014,10.69,Lespedeza capitata
Sphagnum,2014-01-01,2,15,2014,8.4,Liatris aspera
Sphagnum,2014-01-01,3,15,2014,10.37,Lespedeza capitata
Sphagnum,2014-01-01,3,15,2014,0,Mosses
Sphagnum,2014-01-01,3,15,2014,0,Unsorted biomass
Sphagnum,2014-01-01,1,20,2014,3.34,Achillea millefolium
Sphagnum,2014-01-01,1,20,2014,5.69,Bouteloua gracilis
Sphagnum,2014-01-01,1,20,2014,7.33,Cyperus sp.
Sphagnum,2014-01-01,2,20,2014,4.87,Koeleria cristata
Sphagnum,2014-01-01,2,20,2014,0,Lespedeza capitata
Sphagnum,2014-01-01,2,20,2014,12.85,Liatris aspera
Sphagnum,2014-01-01,3,20,2014,0,Lespedeza capitata
Sphagnum,2014-01-01,3,20,2014,3.06,Mosses
Sphagnum,2014-01-01,3,20,2014,2.26,Unsorted biomass
Sphagnum,2014-01-01,1,25,2014,7.32,Achillea millefolium
Sphagnum,2014-01-01,1,25,2014,5.72,Bouteloua gracilis
Sphagnum,2014-01-01,1,25,2014,2.12,Cyperus sp.
Sphagnum,2014-01-01,2,25,2014,12.74,Koeleria cristata
Sphagnum,2014-01-01,2,25,2014,0.83,Lespedeza capitata
Sphagnum,2014-01-01,2,25,2014,19.43,Liatris aspera
Sphagnum,2014-01-01,3,25,2014,5.17,Lespedeza capitata
Sphagnum,2014-01-01,3,25,2014,6.64,Mosses
Sphagnum,2014-01-01,3,25,2014,1.5,Unsorted biomass
Sphagnum,2015-01-01,1,C,2015,10.64,Achillea millefolium
Sphagnum,2015-01-01,1,C,2015,15.38,Bouteloua gracilis
Sphagnum,2015-01-01,1,C,2015,16.49,Cyperus sp.
Sphagnum,2015-01-01,1,C,2015,11.31,Koeleria cristata
Sphagnum,2015-01-01,2,C,2015,13.14,Lespedeza capitata
Sphagnum,2015-01-01,2,C,2015,13.45,Mosses
Sphagnum,2015-01-01,2,C,2015,12.62,Unsorted biomass
Sphagnum,2015-01-01,2,C,2015,11.06,Achillea millefolium
Sphagnum,2015-01-01,3,C,2015,13.92,Bouteloua gracilis
Sphagnum,2015-01-01,3,C,2015,11.02,Cyperus sp.
Sphagnum,2015-01-01,3,C,2015,12.44,Koeleria cristata
Sphagnum,2015-01-01,3,C,2015,12.64,Lespedeza capitata
Sphagnum,2015-01-01,1,0,2015,11.42,Liatris aspera
Sphagnum,2015-01-01,1,0,2015,10.6,Lespedeza capitata
Sphagnum,2015-01-01,1,0,2015,15.34,Mosses
Sphagnum,2015-01-01,1,0,2015,13.25,Unsorted biomass
Sphagnum,2015-01-01,2,0,2015,6.85,Achillea millefolium
