geographicDescription	northBoundingCoordinate	southBoundingCoordinate	eastBoundingCoordinate	westBoundingCoordinate
site_1	45.23	45.23	-89.43	-89.43
site_2	45.24	45.24	-89.44	-89.44
site_3	45.25	45.25	-89.45	-89.45
site_4	45.26	45.26	-89.46	-89.46
site_5	45.27	45.27	-89.47	-89.47
site_6	45.28	45.28	-89.48	-89.48
site_7	45.29	45.29	-89.49	-89.49
site_8	45.3	45.3	-89.5	-89.5
site_9	45.31	45.31	-89.51	-89.51
site_10	45.32	45.32	-89.52	-89.52
site_11	45.33	45.33	-89.53	-89.53
site_12	45.34	45.34	-89.54	-89.54
site_13	45.35	45.35	-89.55	-89.55
site_14	45.36	45.36	-89.56	-89.56
site_15	45.37	45.37	-89.57	-89.57
site_16	45.38	45.38	-89.58	-89.58
site_17	45.39	45.39	-89.59	-89.59
site_18	45.4	45.4	-89.6	-89.6
site_19	45.41	45.41	-89.61	-89.61
site_20	45.42	45.42	-89.62	-89.62
site_21	45.43	45.43	-89.63	-89.63
site_22	45.44	45.44	-89.64	-89.64
site_23	45.45	45.45	-89.65	-89.65
site_24	45.46	45.46	-89.66	-89.66
site_25	45.47	45.47	-89.67	-89.67
site_26	45.48	45.48	-89.68	-89.68
site_27	45.49	45.49	-89.69	-89.69
site_28	45.5	45.5	-89.7	-89.7
site_29	45.51	45.51	-89.71	-89.71
site_30	45.52	45.52	-89.72	-89.72
site_31	45.53	45.53	-89.73	-89.73
site_32	45.54	45.54	-89.74	-89.74
site_33	45.55	45.55	-89.75	-89.75
site_34	45.56	45.56	-89.76	-89.76
site_35	45.57	45.57	-89.77	-89.77
site_36	45.58	45.58	-89.78	-89.78
site_37	45.59	45.59	-89.79	-89.79
site_38	45.6	45.6	-89.8	-89.8
site_39	45.61	45.61	-89.81	-89.81
site_40	45.62	45.62	-89.82	-89.82
site_41	45.63	45.63	-89.83	-89.83
site_42	45.64	45.64	-89.84	-89.84
site_43	45.65	45.65	-89.85	-89.85
site_44	45.66	45.66	-89.86	-89.86
site_45	45.67	45.67	-89.87	-89.87
site_46	45.68	45.68	-89.88	-89.88
site_47	45.69	45.69	-89.89	-89.89
site_48	45.7	45.7	-89.9	-89.9
site_49	45.71	45.71	-89.91	-89.91
site_50	45.72	45.72	-89.92	-89.92
site_51	45.73	45.73	-89.93	-89.93
site_52	45.74	45.74	-89.94	-89.94
site_53	45.75	45.75	-89.95	-89.95
site_54	45.76	45.76	-89.96	-89.96
site_55	45.77	45.77	-89.97	-89.97
site_56	45.78	45.78	-89.98	-89.98
site_57	45.79	45.79	-89.99	-89.99
site_58	45.8	45.8	-90	-90
site_59	45.81	45.81	-90.01	-90.01
site_60	45.82	45.82	-90.02	-90.02
site_61	45.83	45.83	-90.03	-90.03
site_62	45.84	45.84	-90.04	-90.04
site_63	45.85	45.85	-90.05	-90.05
site_64	45.86	45.86	-90.06	-90.06
site_65	45.87	45.87	-90.07	-90.07
site_66	45.88	45.88	-90.08	-90.08
site_67	45.89	45.89	-90.09	-90.09
site_68	45.9	45.9	-90.1	-90.1
site_69	45.91	45.91	-90.11	-90.11
site_70	45.92	45.92	-90.12	-90.12
site_71	45.93	45.93	-90.13	-90.13
site_72	45.94	45.94	-90.14	-90.14
site_73	45.95	45.95	-90.15	-90.15
site_74	45.96	45.96	-90.16	-90.16
site_75	45.97	45.97	-90.17	-90.17
site_76	45.98	45.98	-90.18	-90.18
site_77	45.99	45.99	-90.19	-90.19
site_78	46	46	-90.2	-90.2
site_79	46.01	46.01	-90.21	-90.21
site_80	46.02	46.02	-90.22	-90.22
site_81	46.03	46.03	-90.23	-90.23
site_82	46.04	46.04	-90.24	-90.24
site_83	46.05	46.05	-90.25	-90.25
site_84	46.06	46.06	-90.26	-90.26
site_85	46.07	46.07	-90.27	-90.27
site_86	46.08	46.08	-90.28	-90.28
site_87	46.09	46.09	-90.29	-90.29
site_88	46.1	46.1	-90.3	-90.3
site_89	46.11	46.11	-90.31	-90.31
site_90	46.12	46.12	-90.32	-90.32
site_91	46.13	46.13	-90.33	-90.33
site_92	46.14	46.14	-90.34	-90.34
site_93	46.15	46.15	-90.35	-90.35
site_94	46.16	46.16	-90.36	-90.36
site_95	46.17	46.17	-90.37	-90.37
site_96	46.18	46.18	-90.38	-90.38
site_97	46.19	46.19	-90.39	-90.39
site_98	46.2	46.2	-90.4	-90.4
site_99	46.21	46.21	-90.41	-90.41
site_100	46.22	46.22	-90.42	-90.42
site_101	46.23	46.23	-90.43	-90.43
site_102	46.24	46.24	-90.44	-90.44
site_103	46.25	46.25	-90.45	-90.45
site_104	46.26	46.26	-90.46	-90.46
